"rank","country","happiness2021","happiness2020","pop2021"
"1","Finland","7.8420","7.8090","5548.3600"
"2","Denmark","7.6200","7.6460","5813.2980"
"3","Switzerland","7.5710","7.5600","8715.4940"
"4","Iceland","7.5540","7.5040","343.3530"
"5","Netherlands","7.4640","7.4490","17173.0990"
"6","Norway","7.3920","7.4880","5465.6300"
"7","Sweden","7.3630","7.3530","10160.1690"
"8","Luxembourg","7.3240","7.2380","634.8140"
"9","New Zealand","7.2770","7.3000","4860.6430"
"10","Austria","7.2680","7.2940","9043.0700"
"11","Australia","7.1830","7.2230","25788.2150"
"12","Israel","7.1570","7.1290","8789.7740"
"13","Germany","7.1550","7.0760","83900.4730"
"14","Canada","7.1030","7.2320","38067.9030"
"15","Ireland","7.0850","7.1290","4982.9070"
"16","Costa Rica","7.0690","7.1210","5139.0520"
"17","United Kingdom","7.0640","7.1650","68207.1160"
"18","Czech Republic","6.9650","6.9110","10724.5550"
"19","United States","6.9510","6.9400","332915.0730"
"20","Belgium","6.8340","6.8640","11632.3260"
"21","France","6.6900","6.6640","65426.1790"
"22","Bahrain","6.6470","6.2270","1748.2960"
"23","Malta","6.6020","6.7730","442.7840"
"24","Taiwan","6.5840","6.4550","23855.0100"
"25","United Arab Emirates","6.5610","6.7910","9991.0890"
"26","Saudi Arabia","6.4940","6.4060","35340.6830"
"27","Spain","6.4910","6.4010","46745.2160"
"28","Italy","6.4830","6.3870","60367.4770"
"29","Slovenia","6.4610","6.3630","2078.7240"
"30","Guatemala","6.4350","6.3990","18249.8600"
"31","Uruguay","6.4310","6.4400","3485.1510"
"32","Singapore","6.3770","6.3770","5896.6860"
"33","Slovakia","6.3310","6.2810","5460.7210"
"34","Brazil","6.3300","6.3760","213993.4370"
"35","Mexico","6.3170","6.4650","130262.2160"
"36","Jamaica","6.3090","5.8900","2973.4630"
"37","Lithuania","6.2550","6.2150","2689.8620"
"38","Cyprus","6.2230","6.1590","1215.5840"
"39","Estonia","6.1890","6.0220","1325.1850"
"40","Panama","6.1800","6.3050","4381.5790"
"41","Uzbekistan","6.1790","6.2580","33935.7630"
"42","Chile","6.1720","6.2280","19212.3610"
"43","Poland","6.1660","6.1860","37797.0050"
"44","Kazakhstan","6.1520","6.0580","18994.9620"
"45","Romania","6.1400","6.1240","19127.7740"
"46","Kuwait","6.1060","6.1020","4328.5500"
"47","Serbia","6.0780","5.7780","8697.5500"
"48","El Salvador","6.0610","6.3480","6518.4990"
"49","Mauritius","6.0490","6.1010","1273.4330"
"50","Latvia","6.0320","5.9500","1866.9420"
"51","Colombia","6.0120","6.1630","51265.8440"
"52","Hungary","5.9920","6","9634.1640"
"53","Thailand","5.9850","5.9990","69950.8500"
"54","Nicaragua","5.9720","6.1370","6702.3850"
"55","Japan","5.9400","5.8710","126050.8040"
"57","Portugal","5.9290","5.9110","10167.9250"
"56","Argentina","5.9290","5.9750","45605.8260"
"58","Honduras","5.9190","5.9530","10062.9910"
"59","Croatia","5.8820","5.5050","4081.6510"
"60","Philippines","5.8800","6.0060","111046.9130"
"61","South Korea","5.8450","5.8720","51305.1860"
"62","Peru","5.8400","5.7970","33359.4180"
"63","Bosnia and Herzegovina","5.8130","5.6740","3263.4660"
"64","Moldova","5.7660","5.6080","4024.0190"
"65","Ecuador","5.7640","5.9250","17888.4750"
"66","Kyrgyzstan","5.7440","5.5420","6628.3560"
"67","Greece","5.7230","5.5150","10370.7440"
"68","Bolivia","5.7160","5.7470","11832.9400"
"69","Mongolia","5.6770","5.4560","3329.2890"
"70","Paraguay","5.6530","5.6920","7219.6380"
"71","Montenegro","5.5810","5.5460","628.0530"
"72","Dominican Republic","5.5450","5.6890","10953.7030"
"73","Belarus","5.5340","5.5400","9442.8620"
"75","Hong Kong","5.4770","5.5100","7552.8100"
"74","Russia","5.4770","5.5460","145912.0250"
"76","Tajikistan","5.4660","5.5560","9749.6270"
"77","Vietnam","5.4110","5.3530","98168.8330"
"78","Libya","5.4100","5.4890","6958.5320"
"79","Malaysia","5.3840","5.3840","32776.1940"
"80","Indonesia","5.3450","5.2860","276361.7830"
"81","Republic of the Congo","5.3420","5.1940","5657.0130"
"82","China","5.3390","5.1240","1444216.1070"
"83","Ivory Coast","5.3060","5.2330","27053.6290"
