"ranking","country","gdppc","pop2021"
"1","Luxembourg","118001","634.8140"
"2","Singapore","97057","5896.6860"
"3","Ireland","94392","4982.9070"
"4","Qatar","93508","2930.5280"
"5","Switzerland","72874","8715.4940"
"6","Norway","65800","5465.6300"
"7","United States","63416","332915.0730"
"8","Brunei","62371","441.5320"
"9","Hong Kong","59520","7552.8100"
"10","Denmark","58932","5813.2980"
"11","United Arab Emirates","58753","9991.0890"
"12","San Marino","58427","34.0170"
"13","Netherlands","57534","17173.0990"
"14","Macau","56078","658.3940"
"16","Taiwan","55724","23855.0100"
"15","Iceland","55596","343.3530"
"17","Austria","55218","9043.0700"
"18","Sweden","54146","10160.1690"
"19","Germany","54076","83900.4730"
"20","Australia","51680","25788.2150"
"21","Belgium","51096","11632.3260"
"22","Finland","49853","5548.3600"
"23","Bahrain","48766","1748.2960"
"24","Canada","48720","38067.9030"
"25","Saudi Arabia","46811","35340.6830"
"26","France","46062","65426.1790"
"27","South Korea","44621","51305.1860"
"28","United Kingdom","44117","68207.1160"
"29","Malta","42856","442.7840"
"30","Japan","42248","126050.8040"
"31","New Zealand","42018","4860.6430"
"32","Kuwait","41627","4328.5500"
"33","Italy","40861","60367.4770"
"34","Czech Republic","40618","10724.5550"
"35","Israel","40547","8789.7740"
"36","Cyprus","40107","1215.5840"
"38","Slovenia","40067","2078.7240"
"39","Spain","39121","46745.2160"
"40","Estonia","38834","1325.1850"
"37","Lithuania","38824","2689.8620"
"41","Poland","34103","37797.0050"
"42","Portugal","34043","10167.9250"
"43","Puerto Rico","34025","2828.2550"
"45","Hungary","33030","9634.1640"
"46","Slovakia","32709","5460.7210"
"47","Latvia","31509","1866.9420"
"48","Romania","30526","19127.7740"
"49","Turkey","30253","85042.7380"
"50","Oman","30178","5223.3750"
"51","Aruba","29090","107.2040"
"52","Greece","28748","10370.7440"
"53","Russia","27903","145912.0250"
"54","Croatia","27717","4081.6510"
"55","Malaysia","27402","32776.1940"
"56","Panama","27003","4381.5790"
"57","Kazakhstan","26565","18994.9620"
"58","Seychelles","25414","98.9080"
"59","Trinidad and Tobago","25031","1403.3750"
"60","Bulgaria","23817","6896.6630"
"61","Chile","23366","19212.3610"
"62","Uruguay","22459","3485.1510"
"64","Argentina","20751","45605.8260"
"65","Mauritius","20292","1273.4330"
"66","Belarus","20187","9442.8620"
"67","Costa Rica","19990","5139.0520"
"68","Guyana","19684","790.3260"
"69","Maldives","19609","543.6170"
"71","Serbia","19146","8697.5500"
"72","Mexico","19130","130262.2160"
"73","Antigua and Barbuda","18618","98.7310"
"74","Dominican Republic","18608","10953.7030"
"75","Thailand","18236","69950.8500"
"76","Equatorial Guinea","17788","1449.8960"
"77","China","17192","1444216.1070"
"78","Botswana","16893","2397.2410"
"79","North Macedonia","16712","2082.6580"
"80","Turkmenistan","16520","6117.9240"
"81","Gabon","15970","2278.8250"
"82","Grenada","15431","113.0210"
"83","Bosnia and Herzegovina","15047","3263.4660"
"84","Georgia","14918","3979.7650"
"85","Brazil","14916","213993.4370"
"86","Suriname","14513","591.8000"
"87","Azerbaijan","14431","10223.3420"
"88","Colombia","14324","51265.8440"
"89","Palau","14309","18.1690"
"90","Albania","14218","2872.9330"
"91","Barbados","13553","287.7110"
"93","Armenia","13261","2968.1270"
"94","Sri Lanka","13214","21497.3100"
"95","Ukraine","13110","43466.8190"
"96","Iran","13073","85028.7590"
"97","Paraguay","12881","7219.6380"
"98","Moldova","12811","4024.0190"
"99","Egypt","12790","104258.3270"
"101","Indonesia","12222","276361.7830"
"102","Bhutan","12060","779.8980"
"103","South Africa","12032","60041.9940"
"104","Peru","11871","33359.4180"
