Country,Pop_2021,Male_Pop_2021,Female_Pop_2021,Continent
Burundi,12255429,6082857,6172572,Africa
Comoros,888456,448164,440292,Africa
Djibouti,1002197,525837,476360,Africa
Eritrea,3601462,1805282,1796180,Africa
Ethiopia,117876226,58977276,58898950,Africa
Kenya,54985702,27322828,27662874,Africa
Madagascar,28427333,14183601,14243732,Africa
Malawi,19647681,9691013,9956668,Africa
Mauritius,1273428,627799,645629,Africa
Mayotte,279507,137472,142035,Africa
Mozambique,32163045,15639384,16523661,Africa
Réunion,901696,436350,465346,Africa
Rwanda,13276517,6528496,6748021,Africa
Seychelles,98910,50694,48216,Africa
Somalia,16359500,8155933,8203567,Africa
South Sudan,11381377,5697510,5683867,Africa
Uganda,47123533,23240964,23882569,Africa
United Republic of Tanzania,61498438,30738690,30759748,Africa
Zambia,18920657,9369739,9550918,Africa
Zimbabwe,15092171,7205231,7886940,Africa
Angola,33933611,16790140,17143471,Africa
Cameroon,27224262,13618435,13605827,Africa
Central African Republic,4919987,2438968,2481019,Africa
Chad,16914985,8444820,8470165,Africa
Congo,5657017,2826637,2830380,Africa
Democratic Republic of the Congo,92377986,46123737,46254249,Africa
Equatorial Guinea,1449891,806649,643242,Africa
Gabon,2278829,1159442,1119387,Africa
Sao Tome and Principe,223364,111779,111585,Africa
Botswana,2397240,1162570,1234670,Africa
Eswatini,1172369,577349,595020,Africa
Lesotho,2159067,1066021,1093046,Africa
Namibia,2587344,1254501,1332843,Africa
South Africa,60041996,29564652,30477344,Africa
Benin,12451031,6220142,6230889,Africa
Burkina Faso,21497097,10747651,10749446,Africa
Cabo Verde,561901,282095,279806,Africa
Côte d'Ivoire,27053629,13633247,13420382,Africa
Gambia,2486937,1233376,1253561,Africa
Ghana,31732128,16085850,15646278,Africa
Guinea,13497237,6541530,6955707,Africa
Guinea-Bissau,2015490,986721,1028769,Africa
Liberia,5180208,2605064,2575144,Africa
Mali,20855724,10451763,10403961,Africa
Mauritania,4775110,2398833,2376277,Africa
Niger,25130810,12640015,12490795,Africa
Nigeria,211400704,107149995,104250709,Africa
Senegal,17196308,8397179,8799129,Africa
Sierra Leone,8141343,4064380,4076963,Africa
Togo,8478242,4219666,4258576,Africa
Algeria,44616626,22541461,22075165,Africa
Egypt,104258327,52672373,51585954,Africa
Libya,6958538,3511227,3447311,Africa
Morocco,37344787,18540514,18804273,Africa
Sudan,44909351,22438762,22470589,Africa
Tunisia,11935764,5919617,6016147,Africa
Western Sahara,611872,319602,292270,Africa
Armenia,2968128,1395993,1572135,Asia
Azerbaijan,10223344,5109429,5113915,Asia
Bahrain,1748295,1133875,614420,Asia
Cyprus,1215588,607630,607958,Asia
Georgia,3979773,1896052,2083721,Asia
Iraq,41179351,20845705,20333646,Asia
Israel,8789776,4378007,4411769,Asia
Jordan,10269022,5201385,5067637,Asia
Kuwait,4328553,2654306,1674247,Asia
Lebanon,6769151,3409650,3359501,Asia
Oman,5223376,3443477,1779899,Asia
Qatar,2930524,2196661,733863,Asia
Saudi Arabia,35340680,20437084,14903596,Asia
State of Palestine,5222756,2648404,2574352,Asia
Syrian Arab Republic,18275704,9140412,9135292,Asia
Turkey,85042736,41984498,43058238,Asia
United Arab Emirates,9991083,6888345,3102738,Asia
Yemen,30490639,15358046,15132593,Asia
Kazakhstan,18994958,9222143,9772815,Asia
Kyrgyzstan,6628347,3278708,3349639,Asia
Tajikistan,9749625,4911140,4838485,Asia
Turkmenistan,6117933,3011687,3106246,Asia
Uzbekistan,33935765,16932351,17003414,Asia
Afghanistan,39835428,20434981,19400447,Asia
Bangladesh,166303494,84031706,82271788,Asia
Bhutan,779900,414951,364949,Asia
India,1393409033,723973437,669435596,Asia
"Iran, Islamic Republic of...",85028760,42911442,42117318,Asia
Maldives,543620,343251,200369,Asia
Nepal,29674920,13676606,15998314,Asia
Pakistan,225199929,115884798,109315131,Asia
Sri Lanka,21497306,10298426,11198880,Asia
China,1444216102,740521760,703694342,Asia
"Hong Kong (S.A.R.)",7552800,3458774,4094026,Asia
"China, Macao SAR",658391,316528,341863,Asia
"Taiwan",23855008,11842684,12012324,Asia
Dem. People's Republic of Korea,25887045,12661935,13225110,Asia
Japan,126050796,61534563,64516233,Asia
Mongolia,3329282,1639042,1690240,Asia
South Korea,51305184,25678628,25626556,Asia
Brunei Darussalam,441532,228948,212584,Asia
Cambodia,16946446,8275136,8671310,Asia
Indonesia,276361788,139131289,137230499,Asia
Lao People's Democratic Republic,7379358,3703857,3675501,Asia
Malaysia,32776195,16834984,15941211,Asia
Myanmar,54806014,26412024,28393990,Asia
Philippines,111046910,55740661,55306249,Asia
Singapore,5896684,3086370,2810314,Asia
Thailand,69950844,34016802,35934042,Asia
Timor-Leste,1343875,679032,664843,Asia
Viet Nam,98168829,49017994,49150835,Asia
Antigua and Barbuda,98728,47678,51050,North America
Aruba,107195,50828,56367,North America
Bahamas,396914,192917,203997,North America
Barbados,287708,139349,148359,North America
Cuba,11317498,5617919,5699579,North America
Curaçao,164796,75856,88940,North America
Dominican Republic,10953714,5468642,5485072,North America
Grenada,113015,56902,56113,North America
Guadeloupe,400013,184366,215647,North America
Haiti,11541683,5695743,5845940,North America
Jamaica,2973462,1475189,1498273,North America
Martinique,374743,172187,202556,North America
Puerto Rico,2828246,1339160,1489086,North America
Saint Lucia,184401,90795,93606,North America
Saint Vincent and the Grenadines,111269,56320,54949,North America
Trinidad and Tobago,1403374,692570,710804,North America
United States Virgin Islands,104218,49476,54742,North America
Belize,404915,201255,203660,North America
Costa Rica,5139053,2566834,2572219,North America
El Salvador,6518500,3049549,3468951,North America
Guatemala,18249868,8994279,9255589,North America
Honduras,10062994,5028683,5034311,North America
Mexico,130262220,63724708,66537512,North America
Nicaragua,6702379,3303145,3399234,North America
Panama,4381583,2192584,2188999,North America
Argentina,45605823,22254586,23351237,South America
Bolivia (Plurinational State of),11832936,5936423,5896513,South America
Brazil,213993441,105101516,108891925,South America
Chile,19212362,9475340,9737022,South America
Colombia,51265841,25171408,26094433,South America
Ecuador,17888474,8945176,8943298,South America
French Guiana,306450,151662,154788,South America
Guyana,790329,397803,392526,South America
Paraguay,7219641,3667464,3552177,South America
Peru,33359416,16570305,16789111,South America
Suriname,591798,297324,294474,South America
Uruguay,3485152,1684532,1800620,South America
Venezuela (Bolivarian Republic of),28704947,14110308,14594639,South America
Australia,25788217,12841202,12947015,Oceania
New Zealand,4860642,2388860,2471782,Oceania
Fiji,902899,457087,445812,Oceania
New Caledonia,288217,144779,143438,Oceania
Papua New Guinea,9119005,4656594,4462411,Oceania
Solomon Islands,703995,357972,346023,Oceania
Vanuatu,314464,159357,155107,Oceania
Guam,170184,85795,84389,Oceania
Kiribati,121388,59709,61679,Oceania
Micronesia (Fed. States of),116255,59095,57160,Oceania
French Polynesia,282534,143022,139512,Oceania
Samoa,200144,103615,96529,Oceania
Tonga,106759,53446,53313,Oceania
Belarus,9442867,4397814,5045053,Europe
Bulgaria,6896655,3348364,3548291,Europe
"Czech Republic",10724553,5282038,5442515,Europe
Hungary,9634162,4587565,5046597,Europe
Poland,37797000,18312111,19484889,Europe
Republic of Moldova,4024025,1925840,2098185,Europe
Romania,19127772,9299182,9828590,Europe
Russia,145912022,67638243,78273779,Europe
Slovakia,5460726,2659297,2801429,Europe
Ukraine,43466822,20143824,23322998,Europe
Channel Islands,175244,86785,88459,Europe
Denmark,5813302,2889481,2923821,Europe
Estonia,1325188,628885,696303,Europe
Finland,5548361,2737135,2811226,Europe
Iceland,343360,172504,170856,Europe
Ireland,4982904,2474662,2508242,Europe
Latvia,1866934,861045,1005889,Europe
Lithuania,2689862,1245102,1444760,Europe
Norway,5465629,2764160,2701469,Europe
Sweden,10160159,5091248,5068911,Europe
"United Kingdom of Great Britain and Northern Ireland",68207114,33716291,34490823,Europe
Albania,2872934,1462011,1410923,Europe
Bosnia and Herzegovina,3263459,1597827,1665632,Europe
Croatia,4081657,1969142,2112515,Europe
Greece,10370747,5090479,5280268,Europe
Italy,60367471,29411239,30956232,Europe
Malta,442790,222123,220667,Europe
Montenegro,628051,310591,317460,Europe
North Macedonia,2082662,1041632,1041030,Europe
Portugal,10167923,4811936,5355987,Europe
Serbia,8697547,4259473,4438074,Europe
Slovenia,2078723,1035489,1043234,Europe
Spain,46745211,22979101,23766110,Europe
Austria,9043072,4461606,4581466,Europe
Belgium,11632334,5770656,5861678,Europe
France,65426177,31662586,33763591,Europe
Germany,83900471,41500151,42400320,Europe
Luxembourg,634814,321231,313583,Europe
Netherlands,17173094,8559054,8614040,Europe
Switzerland,8715494,4325447,4390047,Europe
Canada,38067913,18897902,19170011,North America
United States of America,332915074,164729431,168185643,North America
